fg_made,kick_distance,down,ydstogo,qtr,game_seconds_remaining,score_differential,home,indoor,temp,wind,precipitation,grass
1,24,4,4,3,994,-17,1,1,70,0,0,0
1,24,4,4,1,2922,0,1,0,61,7,0,1
1,21,4,3,2,2580,3,1,0,61,7,0,1
1,24,4,6,2,1941,6,1,0,61,7,0,1
0,44,4,8,2,1863,-9,0,0,61,7,0,1
0,49,4,20,2,1805,9,1,0,61,7,0,1
1,25,4,5,3,999,-9,0,0,61,7,0,1
1,31,4,14,2,2423,0,1,0,83,9,1,1
1,35,4,6,3,1194,11,0,0,83,9,1,1
1,47,4,2,3,1567,14,0,0,70,10,0,1
1,24,4,7,4,813,24,0,0,70,10,0,1
1,38,4,7,1,2814,0,0,1,70,0,0,0
1,46,4,11,2,2246,3,0,1,70,0,0,0
1,30,4,12,2,1810,-8,0,1,70,0,0,0
0,40,4,12,3,1652,5,1,1,70,0,0,0
1,23,4,4,4,586,-3,1,1,70,0,0,0
1,46,1,10,4,10,0,0,1,70,0,0,0
1,27,4,8,1,2891,0,0,0,70,5,0,0
1,31,4,2,2,1874,-3,1,0,70,5,0,0
1,37,4,2,1,3261,0,1,0,62,7,0,1
1,25,4,7,2,2654,10,1,0,62,7,0,1
0,36,4,8,2,2021,6,1,0,62,7,0,1
1,41,4,10,2,1805,-6,0,0,62,7,0,1
0,45,4,4,3,1500,-3,0,0,62,7,0,1
0,41,4,10,4,403,3,1,0,62,7,0,1
0,44,2,10,4,15,-3,0,0,62,7,0,1
0,47,4,17,1,3032,7,0,1,70,0,0,0
1,51,4,10,1,2832,-7,1,1,70,0,0,0
1,24,4,6,2,2037,-11,1,1,70,0,0,0
1,39,4,6,3,1217,2,0,1,70,0,0,0
0,49,4,7,1,2948,0,0,0,55,12,0,1
1,48,2,10,2,1804,-7,1,0,55,12,0,1
1,50,4,3,3,1447,4,0,0,55,12,0,1
1,22,4,4,3,1208,-7,1,0,55,12,0,1
1,42,4,2,4,784,3,0,0,55,12,0,1
1,49,4,7,2,2700,0,1,0,50,20,0,1
1,40,4,8,2,2509,-3,0,0,50,20,0,1
1,28,4,7,3,1533,0,1,0,50,20,0,1
0,35,4,17,1,3208,0,1,0,43,7,0,0
1,46,4,2,2,2619,0,0,0,43,7,0,0
1,36,4,4,3,1312,4,1,0,43,7,0,0
1,42,4,10,4,566,0,1,0,43,7,0,0
0,28,4,4,4,120,-4,1,0,43,7,0,0
1,44,4,11,3,1645,28,1,0,67,15,0,1
1,48,4,3,3,1514,31,1,0,67,15,0,1
1,24,4,4,1,3288,0,0,0,72,9,0,1
1,50,4,14,2,2089,-3,1,0,72,9,0,1
1,44,4,12,3,1564,7,0,0,72,9,0,1
1,33,4,6,1,3140,-14,0,1,70,0,0,0
0,40,4,9,1,2960,11,1,1,70,0,0,0
1,44,4,9,2,2281,-18,0,1,70,0,0,0
1,54,4,10,2,1892,15,1,1,70,0,0,0
1,44,4,20,3,1603,-11,0,1,70,0,0,0
1,23,4,6,3,1138,4,0,1,70,0,0,0
1,27,4,9,4,13,0,0,1,70,0,0,0
1,43,4,11,2,1805,0,1,0,50,21,0,1
1,20,4,1,3,1107,10,1,0,50,21,0,1
1,45,1,10,2,1802,-1,1,0,51,10,0,1
1,45,4,1,3,1636,2,1,0,51,10,0,1
1,43,4,10,3,1419,-5,0,0,51,10,0,1
1,34,4,5,4,297,-2,0,0,51,10,0,1
1,42,4,9,2,1878,7,0,0,52,17,0,0
1,34,4,1,2,1831,-10,1,0,52,17,0,0
1,32,4,4,4,856,14,0,0,52,17,0,0
0,44,4,7,1,3200,0,0,0,46,15,0,1
1,40,4,3,4,471,12,0,0,46,15,0,1
0,48,4,5,1,3008,7,1,0,51,5,0,1
0,48,4,6,2,1979,-7,0,0,51,5,0,1
1,42,4,10,2,1828,7,1,0,51,5,0,1
1,27,4,4,3,1011,17,1,0,51,5,0,1
1,38,4,9,1,2805,0,1,0,59,0,0,1
0,41,4,5,2,2462,-4,1,0,59,0,0,1
0,33,4,7,3,1350,3,1,0,59,0,0,1
1,25,4,4,4,900,-3,0,0,59,0,0,1
0,48,4,6,4,272,0,1,0,59,0,0,1
1,39,4,7,4,120,0,0,0,59,0,0,1
0,35,4,10,4,14,-3,1,0,59,0,0,1
1,36,4,9,1,2938,0,1,0,75,17,0,1
1,27,4,8,1,2723,-3,0,0,75,17,0,1
1,20,4,2,2,2219,-7,0,0,75,17,0,1
0,51,4,17,2,1945,-4,0,0,75,17,0,1
1,45,4,9,2,1866,4,1,0,75,17,0,1
1,29,4,11,4,365,14,1,0,75,17,0,1
1,22,4,2,1,2943,0,0,0,58,5,0,1
0,47,4,6,2,2118,17,0,0,58,5,0,1
0,34,2,10,2,1803,17,0,0,58,5,0,1
1,40,4,2,4,690,-10,1,0,58,5,0,1
0,59,2,10,4,4,0,1,0,58,5,0,1
1,42,4,1,5,475,0,1,0,58,5,0,1
1,39,4,21,1,3071,-7,0,0,62,9,0,1
1,21,4,3,2,2431,-4,0,0,62,9,0,1
0,48,4,10,2,1802,-15,0,0,62,9,0,1
1,31,4,3,4,453,8,1,0,62,9,0,1
0,43,4,20,2,2581,7,0,0,64,5,0,1
0,49,4,10,2,2412,-7,1,0,64,5,0,1
1,39,4,7,2,2080,7,0,0,64,5,0,1
1,45,4,5,3,1309,-4,0,0,64,5,0,1
0,19,4,1,4,120,8,1,0,64,5,0,1
1,34,4,4,2,1947,7,0,0,54,20,0,0
0,48,4,11,3,1526,-10,1,0,54,20,0,0
1,41,4,9,4,559,17,0,0,54,20,0,0
1,47,4,9,4,73,13,0,0,54,20,0,0
0,51,4,10,2,2469,0,1,0,67,7,0,1
0,46,4,4,2,1876,-7,1,0,67,7,0,1
1,38,2,10,2,1804,7,0,0,67,7,0,1
1,37,4,9,1,3014,0,0,0,67,7,0,1
0,43,4,20,2,2168,-9,1,0,67,7,0,1
1,28,4,4,2,1804,16,0,0,67,7,0,1
1,48,4,11,3,1462,-19,1,0,67,7,0,1
1,35,4,7,4,761,-9,1,0,67,7,0,1
1,48,4,14,2,2071,0,0,1,70,0,0,0
0,58,1,10,2,1802,-10,1,1,70,0,0,0
0,49,4,10,3,1321,-10,1,1,70,0,0,0
1,20,4,2,4,692,-17,1,1,70,0,0,0
1,39,4,10,1,3392,0,0,1,70,0,0,0
